,date,open,high,low,close,volume,symbol
544,2020-09-13 00:00:00,10440.67,10580.11,10200.0,10332.83,43837.609865,ETH
543,2020-09-14 00:00:00,10332.84,10750.0,10212.34,10671.77,67059.291361,ETH
542,2020-09-15 00:00:00,10671.77,10930.04,10606.48,10785.31,61822.452786,ETH
541,2020-09-16 00:00:00,10785.23,11093.0,10661.22,10954.01,64991.51244,ETH
540,2020-09-17 00:00:00,10954.01,11045.46,10745.83,10939.99,55601.614529,ETH
539,2020-09-18 00:00:00,10940.0,11038.03,10812.84,10933.39,47266.728275,ETH
538,2020-09-19 00:00:00,10933.4,11179.79,10887.37,11080.65,38440.036858,ETH
537,2020-09-20 00:00:00,11080.64,11080.64,10723.0,10920.28,39157.922565,ETH
536,2020-09-21 00:00:00,10920.28,10988.86,10296.35,10417.22,70683.43117899999,ETH
535,2020-09-22 00:00:00,10417.22,10572.71,10353.0,10529.61,43991.235476,ETH
534,2020-09-23 00:00:00,10529.61,10537.15,10136.82,10241.46,51876.568079000004,ETH
533,2020-09-24 00:00:00,10241.46,10795.24,10190.93,10736.32,57676.619427,ETH
532,2020-09-25 00:00:00,10736.33,10760.53,10556.24,10686.67,48101.117008,ETH
531,2020-09-26 00:00:00,10686.57,10820.94,10644.68,10728.6,28420.836658999997,ETH
530,2020-09-27 00:00:00,10728.59,10799.0,10594.82,10774.25,30549.483253,ETH
529,2020-09-28 00:00:00,10774.26,10950.0,10626.0,10696.12,50095.251734,ETH
528,2020-09-29 00:00:00,10696.11,10867.54,10635.87,10840.48,41874.898399,ETH
527,2020-09-30 00:00:00,10840.58,10849.34,10665.13,10776.59,39596.027322,ETH
526,2020-10-01 00:00:00,10776.59,10920.0,10437.0,10619.13,60866.33289299999,ETH
525,2020-10-02 00:00:00,10619.13,10664.64,10374.0,10570.4,50130.393705,ETH
524,2020-10-03 00:00:00,10570.4,10603.56,10496.46,10542.06,22298.221341,ETH
523,2020-10-04 00:00:00,10542.07,10696.87,10517.87,10666.63,23212.001594999998,ETH
522,2020-10-05 00:00:00,10666.62,10798.0,10615.64,10792.21,34025.761652999994,ETH
521,2020-10-06 00:00:00,10792.2,10800.0,10525.0,10599.66,48674.740471,ETH
520,2020-10-07 00:00:00,10599.65,10681.87,10546.17,10666.39,32811.990279000005,ETH
519,2020-10-08 00:00:00,10666.4,10950.0,10530.41,10925.57,51959.691572,ETH
518,2020-10-09 00:00:00,10925.44,11104.64,10829.0,11050.64,48240.073237,ETH
517,2020-10-10 00:00:00,11050.64,11491.0,11050.51,11293.22,43648.036943,ETH
516,2020-10-11 00:00:00,11293.22,11445.0,11221.0,11369.02,29043.851338999997,ETH
515,2020-10-12 00:00:00,11369.02,11720.01,11172.0,11528.25,52825.28371,ETH
514,2020-10-13 00:00:00,11528.24,11557.0,11300.0,11420.56,42205.283708999996,ETH
513,2020-10-14 00:00:00,11420.57,11547.98,11280.0,11417.89,41415.106015,ETH
512,2020-10-15 00:00:00,11417.89,11617.34,11250.83,11505.12,48760.717679,ETH
511,2020-10-16 00:00:00,11505.13,11541.15,11200.0,11319.32,48797.749502,ETH
510,2020-10-17 00:00:00,11319.24,11402.42,11255.0,11360.2,22368.915241,ETH
509,2020-10-18 00:00:00,11360.31,11505.0,11346.22,11503.14,23284.041191,ETH
508,2020-10-19 00:00:00,11503.14,11823.99,11407.96,11751.47,47414.534692,ETH
507,2020-10-20 00:00:00,11751.46,12038.38,11677.59,11909.99,62134.750663,ETH
506,2020-10-21 00:00:00,11910.0,13217.68,11886.95,12780.96,114584.45676700001,ETH
505,2020-10-22 00:00:00,12780.75,13185.0,12678.08,12968.52,70038.82414400001,ETH
504,2020-10-23 00:00:00,12968.84,13027.69,12720.08,12923.07,50386.999841000004,ETH
503,2020-10-24 00:00:00,12923.06,13166.73,12870.0,13111.73,35952.20907,ETH
502,2020-10-25 00:00:00,13111.73,13350.0,12888.0,13028.83,38481.579504,ETH
501,2020-10-26 00:00:00,13029.64,13238.81,12765.0,13052.19,60951.672986000005,ETH
500,2020-10-27 00:00:00,13052.15,13789.29,13019.87,13636.17,80796.553996,ETH
499,2020-10-28 00:00:00,13636.16,13859.48,12888.0,13266.4,94440.561226,ETH
498,2020-10-29 00:00:00,13266.4,13642.91,12920.77,13455.7,74872.602132,ETH
497,2020-10-30 00:00:00,13455.69,13669.98,13115.0,13560.1,70657.77888099999,ETH
496,2020-10-31 00:00:00,13560.1,14100.0,13411.5,13791.0,67339.238515,ETH
495,2020-11-01 00:00:00,13791.0,13895.0,13603.0,13761.5,36285.648526,ETH
494,2020-11-02 00:00:00,13761.49,13830.0,13195.05,13549.37,64566.421908000004,ETH
493,2020-11-03 00:00:00,13549.63,14066.11,13284.99,14023.53,74115.630787,ETH
492,2020-11-04 00:00:00,14023.53,14259.0,13525.0,14144.01,93016.988262,ETH
